# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Al/Fe]	[Ba/Fe]	[Ca/Fe]	[Ce/Fe]	[C/Fe]	[Co/Fe]	[Cr/Fe]	[Eu/Fe]	[Mg/Fe]	[Mn/Fe]	[N/Fe]	[Ni/Fe]	[O/Fe]	[Si/Fe]	[Sr/Fe]	[Ti/Fe]	[V/Fe]	[Y/Fe]	[Zr/Fe]	log-e(Li)
HD196944	I.U.Roederer+,AJ, 147, 136, 2014	20 40 46.09	-06 47 50.7	5310	1.75	-2.39	-2.39	-0.51	1.47	0.46	1.08	1.19	-0.18	-0.15	0.12	0.41	-0.48	1.51	-0.02	0.36	0.7	0.94	0.26	-0.03	0.53	0.85	<0.55
HD196944	S.VanEck+,AAP, 404, 291, 2003	20 40 46.09	-06 47 50.7	5250	1.7		-2.4				1.1															0.62	
HD196944	W.Aoki+,PASJ, 54, 933, 2002	20 40 46.09	-06 47 50.7	5250	1.8	-2.25	-2.25	-0.32	1.05	0.35		1.32	0.05	-0.1		0.4	-0.09	1.44	0.05			0.94	0.34				
HD196944	W.Aoki+,ApJ, 580, 1149, 2002	20 40 46.09	-06 47 50.7	5250	1.8	-2.25	-2.25		1.14		1.06				0.2							0.89			0.58	0.69	
HD196944	V.Placco+,ApJ, 812, 109, 2015	20 40 46.09	-06 47 50.7	5170	1.6	-2.41	-2.41		1.23	0.39	1.08	1.08		-0.07	-0.11	0.36	-0.03	1.08	0.02			0.79	0.27		0.58		
HD196944	I.U.Roederer+,ApJ, 902, L24, 2020			5170	1.6	-2.41	-2.41		1.23						-0.11												
HD198269	D.Karinkuzhi+,AAP, 645, 61, 2021	20 48 36.74	+17 50 23.71	4458	0.83	-2.1	-2.1		1.22	0.38	1.32	1.07	0.11	-0.38	0.68		-0.51	1.27	-0.17	0.91			0.15		0.21	0.72	
HD198269	T.Masseron+,ApJ, 751, 14, 2012	20 48 36.74	+17 50 23.7	4500	1	-1.84			1.31			0.91			0.57	0.44		1.26									<0.2
HD198269	S.VanEck+,AAP, 404, 291, 2003	20 48 36.74	+17 50 23.7	4800	1.3		-2.2				1.5															0.42	
HD200654	K.Jonsell+,AAP, 440, 321, 2005	21 06 34.70	-49 57 50.0	5340	2.96	-2.99	-2.99		-0.78	0.72						0.62											
HD200654	A.McWilliam+,AJ, 109, 2757, 1995	21 06 34.70	-49 57 50.0	5160	2.55	-2.9	-2.65		-0.85	0.3		0.12				0.14			-0.19			-0.59					
HD200654	I.U.Roederer+,AJ, 147, 136, 2014	21 06 34.70	-49 57 50.0	5080	2.25	-3.06	-3.13	-0.66	-1.03	0.47	<0.09	0.38	0.13	-0.19	<0.08	0.51	-0.34	-0.33	0.13	<1.04		-0.12	0.26	0.1	-0.62	-0.16	0.83
HD200654	A.McWilliam+,AJ, 109, 2736, 1995	21 06 34.70	-49 57 50.0																								
HD200654	A.E.GarciaPerez+,AAP, 451, 621, 2006	21 06 34.70	-49 57 50.0	5292	2.86	-2.75	-2.73													0.89							
